title,author,description,age
いないいないばあ,松谷みよ子,赤ちゃん向けの定番絵本。ページをめくると動物たちが「いないいないばあ」をしてくれる。,0〜2歳
はらぺこあおむし,エリック・カール,小さなあおむしが食べて大きくなり、最後には美しいちょうになる世界的ロングセラー。,2〜5歳
ぐりとぐら,なかがわりえこ,野ねずみのぐりとぐらが大きなたまごでカステラを作る楽しいお話。,3〜6歳
しろくまちゃんのほっとけーき,わかやまけん,しろくまちゃんがホットケーキを作る過程をテンポよく描いた人気絵本。,2〜4歳
おおきなかぶ,A.トルストイ,大きなかぶをみんなで力を合わせて引っ張る昔話絵本。,3〜6歳
だるまさんが,かがくいひろし,だるまさんが「どてっ」「びろーん」など、ユーモラスな動きをする人気シリーズ。,0〜3歳
ノンタンぶらんこのせて,キヨノサチコ,ノンタンが友だちとブランコの順番をめぐってやりとりするお話。,2〜5歳
ねないこだれだ,せなけいこ,夜更かしする子どもがおばけに連れていかれるという少し怖いけど人気の絵本。,2〜5歳
こんとあき,林明子,ぬいぐるみのこんと、女の子あきの温かい冒険物語。,3〜6歳
おつきさまこんばんは,林明子,おつきさまが夜空に顔を出し、雲に隠れたりしながら「こんばんは」とあいさつする絵本。,0〜3歳
スイミー,レオ・レオニ,小さな黒い魚スイミーが仲間と協力して大きな魚に立ち向かう物語。,4〜7歳
てぶくろ,ウクライナ民話,落とした手袋の中に動物たちが次々と入っていくお話。,3〜6歳
ぞうくんのさんぽ,なかのひろたか,ぞうくんが友だちを背中に乗せて散歩するユーモラスな絵本。,2〜5歳
だいすき ぎゅっ ぎゅっ,フィリス・ゲイシャイトー,家族や友達と「ぎゅっ」と抱きしめ合う温かい絵本。,0〜3歳
きんぎょがにげた,五味太郎,金魚が逃げ出してあちこちに隠れるのを探す参加型の絵本。,3〜6歳
バムとケロのにちようび,島田ゆか,バムとケロが過ごす楽しい日曜日の物語。,3〜6歳
からすのパンやさん,かこさとし,からすの家族がパン屋さんをひらき、ユーモラスなパンを作る人気絵本。,3〜6歳
ちいさいおうち,バージニア・リー・バートン,田舎に建てられた小さなおうちが、都市化の波にのまれていく物語。,4〜8歳
三びきのやぎのがらがらどん,ノルウェー民話,3匹のやぎが橋を渡るとき、トロルと対決するお話。,3〜6歳
はじめてのおつかい,筒井頼子,みいちゃんが一人でおつかいに行く冒険を描く絵本。,3〜6歳
てぶくろをかいに,新美南吉,子ぎつねが母のために手袋を買いに行く心温まる物語。,4〜7歳
だれのあしあと,ふくだとしお,雪に残った足跡をたどっていくと動物たちが出てくるお話。,3〜6歳
ちょっとだけ,瀧村有子,妹のお世話で忙しいお母さんに「ちょっとだけ」甘えたい女の子のお話。,3〜6歳
おしいれのぼうけん,古田足日,子どもたちが押入れの中で冒険を繰り広げるお話。,4〜8歳
だれのおしり,tupera tupera,動物のおしりを当てるユーモラスな絵本。,2〜5歳
くだもの,平山和子,いろいろな果物を美しく描いた写実的な絵本。,2〜5歳
おばけのてんぷら,せなけいこ,うさこが天ぷらを作るお話におばけがまぎれ込むユーモラスな絵本。,3〜6歳
もこ もこもこ,谷川俊太郎,不思議な音と形が繰り返される詩的な絵本。,2〜5歳
うさぎとかめ,イソップ寓話,うさぎとカメのかけっこ勝負を描いた有名な昔話。,3〜6歳
パンダ銭湯,tupera tupera,パンダの家族が銭湯に行くユーモラスなお話。,3〜6歳
だるまちゃんとてんぐちゃん,かこさとし,だるまちゃんとてんぐちゃんが仲良く遊ぶ物語。,3〜6歳
ゆきのひ,エズラ・ジャック・キーツ,雪の日に男の子が外で遊ぶワクワク感を描いた絵本。,3〜6歳
100かいだてのいえ,いわいとしお,100階建ての家を上へ上へと登っていくユニークな絵本。,3〜6歳
おばけなんてないさ,せなけいこ,夜の怖さとユーモアを描いたおばけ絵本。,3〜6歳
どろんこハリー,ジーン・ジオン,白い犬ハリーが泥んこになって大冒険する物語。,3〜6歳
おべんとうバス,真珠まりこ,お弁当のおかずたちがバスに乗り込む楽しい絵本。,2〜5歳
ねずみくんのチョッキ,なかえよしを,ねずみくんがチョッキを着ていると、友だちが次々に貸してほしいとやってくる。,3〜6歳
がたん ごとん がたん ごとん,安西水丸,汽車に次々と動物や物が乗ってくる繰り返しの楽しい絵本。,0〜3歳
どんぐりとやまねこ,宮沢賢治,どんぐりとやまねこの不思議な裁判の物語。,4〜7歳
ピーターとおおかみ,セルゲイ・プロコフィエフ,音楽とともに楽しむ童話。少年ピーターとオオカミの物語。,4〜8歳
うしろにいるのだあれ,accototo,動物のシルエットを見て当てるクイズ形式の絵本。,2〜5歳
わたしのワンピース,にしまきかやこ,うさぎの女の子が作ったワンピースが、いろいろな模様に変わっていく物語。,3〜6歳
おにぎり,平山和子,おにぎりを作る過程をリアルに描いた絵本。,2〜5歳
おふろだいすき,松岡享子,男の子が動物たちと一緒にお風呂に入る楽しいお話。,3〜6歳
へんしんトンネル,あきやまただし,トンネルを通ると動物や人が変身してしまうユーモラスな絵本。,3〜6歳
わにわにのおふろ,小風さち,わにわにが豪快にお風呂に入る様子を描いた人気シリーズ。,2〜5歳
とけいのほん1,まついのりこ,時計の読み方を楽しく学べる絵本。,4〜7歳
しんせつなともだち,方軼羣,寒い冬の日に動物たちが食べ物を分け合う心温まる物語。,3〜6歳
にじいろのさかな,マーカス・フィスター,美しいにじいろのうろこをもつ魚が友情を学ぶ物語。,3〜6歳
いやだいやだ,せなけいこ,「いやだいやだ」とわがままばかり言う女の子のお話。,2〜5歳
めっきらもっきらどおんどん,長谷川摂子,太鼓を叩いていたかんたが、不思議な世界に迷い込む冒険物語。,4〜7歳
おばけのバーバパパ,アネット・チゾン／タラス・テイラー,ピンク色のおばけ・バーバパパが大活躍するシリーズの第一作。,3〜6歳
おばけのホットケーキ,せなけいこ,ホットケーキをめぐるおばけと子どもの愉快なお話。,3〜6歳
おおきな木,シェル・シルヴァスタイン,少年と木の一生を描いた哲学的な絵本。,5〜8歳
かいじゅうたちのいるところ,モーリス・センダック,マックスが空想の世界でかいじゅうたちと出会う物語。,4〜7歳
たろうのおでかけ,村山桂子,たろうくんが家族と一緒に出かける楽しい1日。,2〜5歳
だんごむしみつけたよ,松岡達英,子どもたちに人気のダンゴムシを観察する科学絵本。,3〜6歳
いろいろバス,tupera tupera,いろいろな色のバスが登場するリズミカルな絵本。,2〜5歳
ふしぎなたけのこ,松野正子,竹やぶから不思議なたけのこがにょきにょき出てくるお話。,3〜6歳
とっときのとっかえっこ,林明子,友だちと物をとっかえっこする中で学ぶ子どもの心。,3〜6歳
どろぼうがっこう,かこさとし,どろぼうたちが学校で習うユーモラスなお話。,4〜7歳
おばけのバケロン,かとうまふみ,おばけの子どもバケロンがいろいろな冒険をする絵本。,3〜6歳
ひつじぱん,あきやまただし,ひつじたちがパンを焼くユーモラスなお話。,2〜5歳
ももたろう,松居直,桃から生まれたももたろうが鬼退治に出かける日本の昔話。,3〜6歳
うらしまたろう,松谷みよ子,浦島太郎が竜宮城へ行く日本の昔話。,3〜6歳
