title,author,description,age,isbn,image_url,is_picked
いないいないばあ,松谷みよ子,赤ちゃん向けの定番絵本。ページをめくると動物たちが「いないいないばあ」をしてくれる。,0〜2歳,9784494001019,http://books.google.com/books/content?id=IdLQtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
はらぺこあおむし,エリック・カール,小さなあおむしが食べて大きくなり、最後には美しいちょうになる世界的ロングセラー。,2〜5歳,9784033211008,,0
ぐりとぐら,なかがわりえこ,野ねずみのぐりとぐらが大きなたまごでカステラを作る楽しいお話。,3〜6歳,9784834017779,http://books.google.com/books/content?id=PIEeAgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
しろくまちゃんのほっとけーき,わかやまけん,しろくまちゃんがホットケーキを作る過程をテンポよく描いた人気絵本。,2〜4歳,9784772100311,http://books.google.com/books/content?id=KIhdAgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
おおきなかぶ,A.トルストイ,大きなかぶをみんなで力を合わせて引っ張る昔話絵本。,3〜6歳,9784834000627,,0
だるまさんが,かがくいひろし,だるまさんが「どてっ」「びろーん」など、ユーモラスな動きをする人気シリーズ。,0〜3歳,9784893095015,http://books.google.com/books/content?id=hWqLSgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ノンタンぶらんこのせて,キヨノサチコ,ノンタンが友だちとブランコの順番をめぐってやりとりするお話。,2〜5歳,9784032170108,http://books.google.com/books/content?id=QX0FOwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ねないこだれだ,せなけいこ,夜更かしする子どもがおばけに連れていかれるという少し怖いけど人気の絵本。,2〜5歳,9784834087994,http://books.google.com/books/content?id=khW10AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
こんとあき,林明子,ぬいぐるみのこんと、女の子あきの温かい冒険物語。,3〜6歳,9784834008302,,0
おつきさまこんばんは,林明子,おつきさまが夜空に顔を出し、雲に隠れたりしながら「こんばんは」とあいさつする絵本。,0〜3歳,9784834088021,http://books.google.com/books/content?id=9xXR0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
スイミー,レオ・レオニ,小さな黒い魚スイミーが仲間と協力して大きな魚に立ち向かう物語。,4〜7歳,9784769020202,http://books.google.com/books/content?id=yjyuYgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
てぶくろ,ウクライナ民話,落とした手袋の中に動物たちが次々と入っていくお話。,3〜6歳,9784477018416,http://books.google.com/books/content?id=T_5jQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
ぞうくんのさんぽ,なかのひろたか,ぞうくんが友だちを背中に乗せて散歩するユーモラスな絵本。,2〜5歳,9784834015911,,0
だいすき ぎゅっ ぎゅっ,フィリス・ゲイシャイトー,家族や友達と「ぎゅっ」と抱きしめ合う温かい絵本。,0〜3歳,9784265850372,http://books.google.com/books/content?id=StCrNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0
